Tarif_Adi,Lemmatized_Metin
Mısır Unu Çorbası,mısır unu tere yağı tel şehriye süt su tuz sıvıyağ kırmızı pul biber kekik küçük bir derin tencere içine yemek kaşığı tereyağı koyup eritin eriyen tereyağın üzerine yemek kaşığı mısır unu ekleyin mısır unun kokusu çıkana kadar yaklaşık dakika kadar kavurun mısır unun rengi hafif koyulaşınca üzerine buçuk su bardağı sütü azar azar döküp çırpma teli ile hızlı bir şekilde karıştırın ardından da tencereye buçuk su bardağı su koyun orta ateş üzerinde ara ara karıştırarak kaynamaya bırakın kaynayan mısır unu çorbasının içine yemek kaşığı tel şehriye ve tuz ekleyin tel şehriyeler yumuşayana kadar dakika kadar kaynatın diğer tarafta küçük bir sos tavası içine yemek kaşığı kadar sıvı yağ koyun üzerine tatlı kaşığı kadar kırmızı pul biber ekleyip kızdırın kızdırdığınız sosu mısır unu çorbasının üzerine döküp güzelce karıştırın hazırladığınız mısır unu çorbasını sıcak olarak servis edebilirsiniz
Salçalı Arpa Şehriye Çorbası,arpa şehriye domates salçası domates sıvı yağ su tuz nane adet domatesin kabuğunu soyup rendeleyin orta boy derin bir tencere içine yemek kaşığı sıvı yağ dökün yağın üzerine yemek kaşığı domates salçası koyun salçanın hafifçe kokusu çıkana kadar kavurun kavurduğunuz salçanın üzerine rendelenmiş domatesi ekleyin domatesi de salçayla beraber dakika kadar daha kavurun daha sonra tencereye su bardağı sıcak su döküp karıştırın kaynamaya bırakın kaynayan çorba suyuna çay bardağı arpa şehriye ekleyip karıştırın şehriyeler yumuşayıncaya kadar ara ara karıştırarak pişirin arpa şehriye çorbası piştikten sonra üzerine damak tadınıza göre tuz ve nane koyun çorbayı kere karıştırın
Salçalı Yoğurt Çorbası,domates salçası tere yağı zeytinyağı tel şehriye sıcak su maydanoz tuz karabiber yoğurt yumurta un orta boy derin bir tencere içine buçuk yemek kaşığı tereyağı ve yemek kaşığı zeytinyağı koyup ısıtın isınan yağın üzerine çay bardağı tel şehriye ekleyin şehriyelerin rengi hafifçe kahverengi olana kadar sürekli karıştırarak kavurun kavrulan şehriyelerin üzerine yemek kaşığı domates salçası koyun domates salçası yerine karışık salçada kullanabilirsiniz salçanın hafifçe kokusu çıkana kadar sürekli karıştırarak kavurun daha sonra tencereye litre sıcak su döküp karıştırın ardından kaynamaya bırakın kaynadıktan sonra orta kısık ateş üzerinde şehriyeler yumuşayana kadar ara ara karıştırarak pişirin diğer tarafta terbiyesi için çukur bir kase içine su bardağı yoğurt adet yumurta ve yarım yemek kaşığı un koyun kasedeki tüm malzemeleri tel çırpıcı yardımı ile iyice karıştırın daha sonra pişen çorba suyundan kepçe alıp terbiyenin içine dökün terbiyenin kesilmemesi için hızlı bir şekilde karıştırıp ılımasını sağlayın ardından terbiyeli karışımı çorbanın içine azar azar döküp bir yandan da çorbanın kesilmemesi için hızlı bir şekilde karıştırın çorbanın kesilme yapmaması için kaynayana kadar karıştırmaya devam edin son olarak salçalı yoğurt çorbasının içine tutam ince ince doğranmış maydanoz ekleyin ardından damak tadınıza göre tuz ve karabiber koyup güzelce karıştırın çorbanızın kıvamı koyu ise üzerine azar azar sıcak su döküp kıvamını ayarlayabilirsiniz hazırladığınız şehriyeli salçalı yoğurt çorbasını dakika dinlenmeye bırakın daha sonra sıcak olarak servis edebilirsiniz
Şehriyeli Domates Çorbası,domates püresi domates salçası tereyağı sıvı yağ un su arpa şehriye tuz karabiber domates kabuklarını soyun ve mutfak robotundan geçirip püre haline getirin derin bir tencereye yemek kaşığı tereyağı ve yemek kaşığı sıvı yağ koyun ve eritin yağın üzerine yemek kaşığı un ekleyin ve kavurun kavrulan unun üzerine buçuk su bardağı domates püresi ve yemek kaşığı domates salçası koyun domates salçasını ve domates püresini sürekli karıştırarak dakika kadar kavurun daha sonra karışımın üzerine buçuk su bardağı su dökün ve topaklanma yapmaması için çırpıcı yardımı ile iyice karıştırın kaynamaya bırakın ve çorba kaynamaya başladığında içine yarım çay bardağı arpa şehriye koyun ve karıştırın şehriyeler yumuşayıncaya kadar ara ara karıştırarak pişirin çorbanın kıvamı koyu olursa üzerine sıcak su döküp kıvamı açabilirsiniz son olarak damak tadınıza göre tuz ve karabiber ekleyip karıştırın
Toros Çorbası,irmik ince bulgur kuru soğan yumurta akı yumurta sarısı sıcak su haşlanmış nohut sıcak su tuz karabiber yoğurt un limon suyu tereayağı zeytinyağı kırmızı toz biber kırmızı pul biber köfte harcını hazırlayın köfteleri yuvarlayın suyu kaynatın köfteleri ve nohutu ekleyin terbiyeyi hazırlayın terbiyeyi çorbaya ekleyin üzerini hazırlayın servis edin
Yumurtasız Yoğurt Çorbası,pirinç yoğurt un su tuz tereyağı kuru nane orta boy derin bir tencere içine su bardağı su dökün ocak üzerinde kaynamaya bırakın kaynayan suyun içine çay bardağı pirinç koyun kısık ateş üzerinde pirinçler yumuşayana kadar pişirin diğer tarafta derin bir kap içine buçuk su bardağı yoğurt ve yemek kaşığı un koyun yoğurtlu karışımı pürüzsüz bir kıvam alana kadar iyice çırpın yoğurtlu karışıma çorbanın suyundan kepçe koyup ılımasını sağlayın hazırladığınız yoğurtlu karışımı çorbanın içine azar azar dökün bir yandan da hızlı bir şekilde karıştırın yumurtasız yoğurt çorbasını ara ara karıştırarak kaynamaya bırakın çorba kaynadıktan sonra damak tadınıza göre içine tuz ekleyip karıştırın çorbanın üzeri için küçük bir tava içine yemek kaşığı tereyağı koyup eritin eriyen yağın içine tatlı kaşığı kuru nane ekleyip kızdırın ardından çorbanın içine kızdırdığınız naneli yağ karışımını dökün çorbayı kepçe yardımı ile güzelce karıştırın
Brokolili Mercimek Çorbası,kırmızı mercimek brokoli kuru soğan sarımsak havuç patates tere yağı zeytinyağı sıcak su tuz karabiber gr brokoliyi küçük küçük çiçeklerine ayırıp iyice yıkayın adet küçük boy patates adet küçük boy havuç adet kuru soğan ve diş sarımsağın kabuğunu soyup küçük küpler halinde doğrayın derin bir tencere içine yemek kaşığı kadar tereyağı ve yemek kaşığı zeytinyağı koyup ısıtın isınan yağın üzerine doğranmış soğan sarımsak patates ve havucu koyup dakika kavurun ardından su bardağı yıkanmış kırmızı mercimeği ekleyip dakika daha kavurun kavurma işlemi bittikten sonra çiçeklerine ayırdığınız brokoliyi koyup kere karıştırın son olarak sebzelerin üzerine buçuk su bardağı sıcak su döküp kaynamaya bırakın kaynadıktan sonra ocağın altını kısıp mercimek ve sebzeler yumuşayana kadar pişirin mercimek ve sebzeler iyice yumuşadıktan sonra pürüzsüz bir kıvam alana kadar blenderdan geçirin daha sonra brokolili mercimek çorbasının içerisine damak tadınıza göre tuz ve karabiber ekleyip taşım daha kaynatın
Kremalı Brokoli Çorbası,brokoli sarimsak et suyu süt tere yağı un süt kreması tuz karabiber brokoli saplarını kesip çiçeklerine ayırın brokoliyi güzelce yıkayın derin bir tencereye brokoliyi koyun üzerine sarımsak sıcak su ve et suyu ekleyin yumuşayana kadar haşlayın haşlanan brokoliyi suyu ile birlikte kenara alın başka bir tencereye tereyağı koyup eritin üzerine un koyun unun kokusu çıkana kadar kavurun kavrulan unun üzerine brokoli suyundan biraz dökün suyu döktükten sonra unun topaklanmaması için tel çırpıcı yardımıyla hızlı bir şekilde karıştırın tencereye diğer tencerede kalan brokoliyi ekleyin pürüzsüz bir kıvam alana kadar tüm malzemeleri blenderdan geçirin son olarak blenderdan geçirdiğiniz brokoli çorbasının üzerine süt kreması tuz ve karabiber ekleyin çorbayı güzelce karıştırıp kaynamaya bırakın
Mantı Çorbası,küçük mantı haşlanmış nohut soğan sarımsak domates salçası sıvı yağ sıcak su tuz karabiber kırmızı pul biber nane orta boy derin bir tencere içine doğranmış soğan ve havanda ezdiğiniz sarımsağı koyun üzerine yemek kaşığı sıvı yağ ekleyip dakika kadar kavurun ardından tencereye yarım yemek kaşığı domates salçası koyun salçayı soğan ile beraber dakika kadar daha kavurun kavurma işlemi bittikten sonra tencere içine su bardağı sıcak su döküp kaynamaya bırakın kaynayan çorba suyuna su bardağı küçük hazır mantı ve su bardağı haşlanmış nohut ekleyin mantılar pişene kadar ara ara karıştırın çorbanın kıvamı koyu olursa biraz daha sıcak su ekleyebilirsiniz mantı çorbası piştikten sonra içine damak tadınıza göre tuz karabiber nane ve kırmızı pul biber ekleyip karıştırın daha sonra sıcak olarak servis edebilirsiniz
Patlıcan Çorbası,patlıcan tereyağı un süt su kıyma kırmızı toz biber patlıcanları yıkayıp birkaç yerinden bıçak ile delikler açın patlıcanları tepsiye koyun ve önceden ısıtılmış derece fırına verip ara ara teryüz ederek közleyin közlediğiniz patlıcanların kabuklarını soyun ve bıçak yardımı ile ince ince kıyın orta boy derin bir tencere içine buçuk yemek kaşığı tereyağ koyup eritin üzerine buçuk yemek kaşığı un ekleyin ve unun kokusu çıkana kadar dakika kavurun kavrulmuş unun üzerine közlenmiş patlıcanları ekleyin ve dakika kadar eze eze karıştırın tencereye buçuk su bardağı süt ve buçuk su bardağı su dökün ve hızlı bir şekilde karıştırıp patlıcan çorbasını kaynamaya bırakın çorbanızın kıvamı çok koyu ise su ya da süt ekleyerek kıvamı açabilirsiniz közlenmiş patlıcan çorbası kaynadıktan sonra ocaktan alın ve pürüzsüz hale gelene kadar blenderdan geçirin tencereyi tekrar ocak üzerine alın ve üzerine buçuk yemek kaşığı kavrulmuş kıyma damak tadınıza göre tuz ve karabiber ekleyip karıştırın közlenmiş patlıcan çorbasını taşım daha kaynatıp ocaktan alın küçük bir tava içine yemek kaşığı kadar tereyağı koyup eritin ve üzerine çay kaşığı kırmızı toz biber koyup kızdırın hazırladığınız kıymalı közlenmiş patlıcan çorbasını kaselere koyun ve üzerlerine az miktar yağda kızdırdığınız kırmızı toz biber karışımından döküp servis edebilirsiniz
Salçalı Domates Çorbası,domates salçası tere yağı sıvı yağ un su süt tuz karabiber orta boy derin bir tencere içine yemek kaşığı tereyağı ve yemek kaşığı sıvı yağ koyup eritin eriyen yağın üzerine yemek kaşığı domates salçası ekleyin salçanın kokusu çıkana kadar yaklaşık dakika kavurun kavrulan salçanın üzerine yemek kaşığı dolusu un koyun çırpıcı yardımı ile dakika kadar kavurmaya devam edin ardından karışımın üzerine buçuk su bardağı suyu azar azar döküp hızlı bir şekilde karıştırın damak tadınıza göre tuz ve karabiber koyun karıştırarak kaynamaya bırakın son olarak kaynayan salçalı domates çorbası içine yarım su bardağı süt döküp karıştırın taşım kaynatıp ocağın altını kapatın
Tel Şehriyeli Tarhana Çorbası,toz tarhana tereyağı tel şehriye sarımsak domates salçası su tuz orta boy derin bir tencere içine yarım yemek kaşığı tereyağı koyup eritin eriyen yağın üzerine tatlı kaşığı domates salçası ve diş rendelenmiş sarımsak koyun sürekli karıştırarak dakika kadar kavurun daha sonra kavurduğunuz salçanın üzerine su bardağı soğuk su döküp karıştırın üzerine yemek kaşığı toz tarhanayı ekleyin kaynaya kadar çorbayı sürekli karıştırın kaynayan tarhana çorbasının içine yarım çay bardağı tel şehriye ve damak tadınıza göre tuz ekleyip karıştırın çorbayı dakika kadar daha pişirin tel şehriyeli tarhana çorbası piştikten sonra sıcak olarak servis edebilirsiniz
Yoğurtlu Ezogelin Çorbası,kırmızı mercimek yoğurt kuru soğan domates salçası biber salçası pilavlık bulgur pirinç tel şehriye nane sıvı yağ su tuz orta boy derin bir tencere içine yemek kaşığı sıvı yağ yarım yemek kaşığı domates salçası ve yarım yemek kaşığı biber salçası koyup saniye kadar kavurun ardından adet ince ince doğranmış soğan ve yarım su bardağı kırmızı mercimeği ekleyin tenceredeki malzemeleri sürekli karıştırarak dakika kavurun ardından tencerenin içine buçuk su bardağı sıcak su döküp mercimekler yumuşayana kadar haşlayın mercimekler yumuşadıktan sonra tencere içine yemek kaşığı pirinç koyun ardından yemek kaşığı pilavlık bulgur ekleyip karıştırın dakika kadar pişirin bu süre sonunda yemek kaşığı tel şehriyeyi de ekleyin çorbayı dakika kadar daha pişirmeye devam edin diğer tarafta yarım su bardağı yoğurdu bir kaba koyup çırpıcı yardımı ile iyice çırpın kaynayan çorba suyundan kepçe alıp yoğurdun içine dökün hızlı bir şekilde karıştırarak yoğurdun ılımasını sağlayın ardından yoğurdu çorbanın içine azar azar döküp hızlı bir şekilde karıştırarak kaynamaya bırakın yoğurtlu ezogelin çorbası kaynadıktan sonra içine tatlı kaşığı dolusu nane ve damak tadınıza göre tuz ekleyip karıştırın çorbanın kıvamı koyu ise biraz daha su ekleyip kıvamı açabilirsiniz hazırladığınız yoğurtlu ezogelin çorbasını sıcak olarak servis edebilirsiniz
Kırmızı Biberli Mantar Çorbası,kültür mantarı kırmızı biber soğan sarımsak un tere yağı sıvı yağ süt su tuz karabiber mantarları yıkayıp kabuklarını soyun mantarları tencereye koyun üzerlerini geçecek kadar su dökün mantarları yumuşayana kadar pişirin mantarların suyunu süzüp ince ince dilimleyin kırmızı biberi küçük küpler halinde kesin soğan ve sarımsağı ince ince doğrayın tencereye tereyağı ve sıvı yağ koyun soğanları dakika kavurun sarımsak ve kırmızı biberi ekleyip dakika kavurun unu koyun kokusu çıkana kadar kavurun sütü azar azar döküp hızlı bir şekilde karıştırın su ve mantarları ekleyip tekrar karıştırın kaynamaya bırakın dakika daha kaynatın tuz ve karabiber koyup son kez karıştırın
Sebzeli Ezogelin Çorbası,kırmızı mercimek kırmızı pirinç bulgur kabak havuç patates kuru soğan sıcak su tuz karabiber tereyağı kuru nane kırmızı toz biber soğanı soyup minik küpler halinde kesin derin bir tencere içine yemek kaşığı zeytinyağı koyun üzerine doğranmış soğanı ekleyip dakika kavurun ardından doğranmış kabak havuç ve patatesi koyun ara ara karıştırarak dakika kavurun kavrulan sebzelerin üzerine kırmızı mercimek pirinç bulgur damak tadınıza göre tuz karabiber koyun ardından tencereye su bardağı sıcak su ekleyin sebze ve bakliyatlar yumuşayana kadar pişirin sebze ve bakliyatlar yumuşayıp ezilme kıvamına gelince blendırdan geçirin çorbanın kıvamı koyu ise biraz daha sıcak su ekleyip kıvamı açabilirsiniz çorbanın üzeri için küçük bir tava içine yemek kaşığı tereyağı koyup eritin eriyen yağın üzerine tatlı kaşığı kuru nane ve çay kaşığı kırmızı toz biber ekleyip biraz kızdırın hazırladığınız sebzeli ezogelin çorbasını servis kasesine koyun üzerine kızdırdığınız yağlı nane karışımını döküp servis edebilirsiniz
